Pitch Type,Avg Speed,Avg Spin,Avg Horizontal Break,Avg Vertical Break
4-Seam,89.2,2218,-2.3,-19.5
Changeup,81.9,1683,-13.6,-33.8
Curveball,73.5,2791,16.8,-65.5
Sinker,89.3,2188,-12.1,-22.9
Cutter,85,2343,6,-31.3
4-Seam,89.8,1996,9.6,-20.4
Changeup,79.6,1478,13.2,-36.7
Curveball,72.4,2539,-13.1,-66.5
Sinker,89.2,1952,15.6,-24.8
Cutter,85.5,2026,-1.4,-30
4-Seam,91.6,2269,-7.8,-17.1
Slider,82.9,2506,3.2,-33.4
Changeup,84.5,1507,-12.5,-35.9
Curveball,78.5,2590,6.7,-52.9
Sinker,90.8,2206,-15.8,-24.3
Cutter,87.2,2461,1.6,-28.3
4-Seam,91.5,2436,13.8,-17.1
Changeup,83,2005,16.3,-31.8
Curveball,79.2,2550,-5.7,-47.1
4-Seam,90,2422,-4.9,-14.8
Slider,79.9,2538,4.3,-43.7
Changeup,82.2,1665,-13,-32
Curveball,73.5,2349,8.1,-63.9
Sinker,90.7,2348,-12.8,-17.4
4-Seam,92.2,2049,10.7,-17.2
Changeup,83.7,1704,14.4,-29.7
Curveball,77.7,2521,-5.5,-50.4
Sinker,91.9,1951,17,-22.4
Cutter,88.8,2180,0.8,-24
4-Seam,92.8,2184,-13.9,-18.1
Changeup,84.9,1518,-14.5,-35.5
Curveball,78.6,2499,15.1,-54.8
Sinker,91.7,2097,-17.4,-24.4
4-Seam,97,2495,-6.2,-12
Slider,86.5,2616,4.3,-34.4
Sinker,97,2442,-12.7,-12.9
Changeup,80.6,2114,16.9,-32.8
Curveball,75.3,2294,-8.9,-62.1
Sinker,88.2,2160,11,-18.1
Cutter,84.8,2148,0,-27.3
4-Seam,93.2,2306,2,-20.7
Changeup,88.8,1720,12.9,-32.1
Curveball,80.5,2982,-13.2,-56.2
Sinker,93.1,2255,12.6,-25.8
4-Seam,95.9,2156,-6.8,-16.1
Slider,87.9,2384,0.5,-31
Changeup,86.8,1816,-13.4,-26.8
Curveball,85.5,2732,3.7,-40.5
Sinker,94.7,2143,-13.2,-21.2
4-Seam,94,2492,-6.7,-15.4
Changeup,84.6,1781,-7.9,-29.2
Curveball,84,2618,4.4,-42.7
Sinker,92,2327,-13.3,-25.1
Cutter,89.4,2603,2.1,-27.1
4-Seam,88.3,2218,2.7,-21.5
Slider,75.8,2280,-7.9,-48.3
Changeup,78.6,1705,14.4,-37.7
Sinker,87.2,2089,12.5,-29.1
Cutter,84.8,2206,-2.6,-29.9
4-Seam,90.1,2145,8.5,-18.9
Slider,79.2,2241,-3.8,-42.8
Changeup,77.7,1550,10.5,-33.9
Curveball,65,1852,-3.1,-66.9
Sinker,90.2,2095,13.9,-21.3
4-Seam,96.7,2511,-12.1,-11.6
Slider,88.7,2585,5.1,-31.1
Changeup,88.2,1749,-15.3,-24.5
Curveball,83.3,2809,9.7,-50.9
4-Seam,93.8,2470,-8.8,-15.8
Slider,85.9,2807,4.2,-36.2
Changeup,87.7,1382,-7,-33
Curveball,83.1,2958,9.4,-48.3
Sinker,92.4,2360,-15.7,-24.2
4-Seam,96.9,2336,-5.8,-15
Slider,89.8,2399,4.3,-31
Changeup,90.1,1641,-12.4,-23.1
Curveball,80.1,2621,10.8,-55.6
Sinker,96.6,2206,-14.3,-17.1
4-Seam,87.4,1972,-5.7,-20.7
Changeup,79.7,2064,-11.4,-31.1
Curveball,72.1,2810,14.3,-66.3
Sinker,87.3,1863,-12.5,-25.9
4-Seam,93.2,2380,-3.6,-14
Changeup,84.9,1530,-13.3,-34.7
Curveball,81.2,2432,6.3,-50.9
Sinker,92.9,2192,-13.8,-16.4
Cutter,87,2349,6.5,-32.9
4-Seam,92.2,2451,7.1,-17.9
Slider,86.2,2473,-1.9,-31.9
Changeup,86.1,1412,11.2,-31.6
Curveball,80.3,2444,-4.1,-49.5
Sinker,91.7,2414,14.4,-25.4
4-Seam,95.9,2582,-6.2,-11.4
Slider,82,2789,14.9,-42.6
Curveball,77.8,2733,9.8,-58.6
Sinker,95,2440,-13.9,-18
Cutter,87.1,2681,4.6,-35
Splitter,89.7,1691,-10.7,-24.3
4-Seam,94.1,2354,-9,-12.5
Slider,84.5,2551,1.3,-42
Changeup,88.7,1665,-15.9,-29.9
Curveball,83.6,2352,9,-53.6
Cutter,89.3,2529,1.8,-24.8
4-Seam,93,2199,-8.2,-19.2
Slider,83.1,2389,4.8,-41.1
Changeup,87.8,2164,-15.6,-24.9
Sinker,93.3,2241,-13.7,-19.2
4-Seam,94.7,2472,-10.5,-15
Slider,85.5,2384,4.1,-34.9
Changeup,84.9,1446,-14.5,-35
Curveball,77.2,2779,14.4,-54.9
Cutter,91.1,2570,-0.7,-23.9
4-Seam,89.4,2220,7.4,-18.6
Changeup,83.4,1905,13.5,-32.5
Curveball,73.4,2569,-10.6,-55.6
Sinker,88.6,2086,13.7,-27.4
Cutter,87.4,2343,-0.4,-24.6
4-Seam,87.9,2323,-1.1,-18.1
Slider,84.5,2424,6.6,-32.6
Changeup,84.7,1746,-11,-31.8
Curveball,70.7,2434,10.6,-66.2
4-Seam,91.7,2305,11.2,-18.3
Slider,79.3,2323,-3.4,-46.8
Changeup,79.1,1900,15.9,-37
Curveball,74.1,2528,-12.9,-65
Sinker,90.5,2255,16.1,-22.7
4-Seam,94.5,2192,-10.9,-15.5
Changeup,84.7,1538,-12.5,-33.9
Curveball,83.3,2353,14.7,-42.1
Sinker,94,2124,-15.8,-20.6
4-Seam,93.5,2776,-9.1,-11.6
Slider,80.7,2941,17.5,-45.3
Changeup,84.3,1413,-11.6,-27.6
Curveball,79.7,2933,8.8,-63.6
Sinker,93.4,2796,-13.1,-12.7
Cutter,85,2908,5.5,-38.5
